Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),273.00,272.65,273.26,272.66,272.71,272.77,272.95,273.04,273.09,273.19,273.23,273.26,0.20
HTTP Data Sent (KB),4.57,4.28,4.82,4.29,4.33,4.39,4.56,4.59,4.60,4.73,4.78,4.81,0.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6931.49,6914.11,6948.11,6914.27,6914.91,6915.71,6918.12,6936.67,6940.43,6945.04,6946.58,6947.81,13.14
HTTP Receiving (ms),6910.60,6892.88,6927.93,6893.05,6893.71,6894.54,6897.03,6915.47,6919.66,6924.62,6926.28,6927.60,13.45
HTTP Sending (ms),0.09,0.08,0.15,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.14,0.15,0.03
HTTP Total Time (ms),6931.49,6914.11,6948.11,6914.27,6914.91,6915.71,6918.12,6936.67,6940.43,6945.04,6946.58,6947.81,13.14
HTTP Waiting (TTFB) (ms),20.80,20.02,21.15,20.05,20.16,20.29,20.70,21.01,21.11,21.14,21.14,21.15,0.42
Input Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),6.79,0.30,20.33,6.60,6.67,6.70,6.73,6.76,6.79,6.82,6.85,7.60,0.63
Inter Token Latency (ms),6.76,6.74,6.77,6.74,6.74,6.74,6.74,6.76,6.76,6.77,6.77,6.77,0.01
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),148.03,147.66,148.41,147.67,147.70,147.73,147.84,147.93,148.32,148.38,148.40,148.41,0.29
Prefill Throughput Per User (tokens/sec/user),48932.92,48148.14,50606.12,48151.34,48164.12,48180.10,48228.03,48469.84,49212.48,50048.66,50327.39,50550.37,917.05
Request Latency (ms),6931.53,6914.14,6948.17,6914.30,6914.95,6915.75,6918.15,6936.70,6940.46,6945.09,6946.63,6947.86,13.15
Time to First Output Token (ms),20.93,20.23,21.27,20.26,20.35,20.46,20.81,21.13,21.23,21.25,21.26,21.27,0.39
Time to First Token (ms),20.93,20.23,21.27,20.26,20.35,20.46,20.81,21.13,21.23,21.25,21.26,21.27,0.39
Time to Second Token (ms),6.27,6.07,6.67,6.07,6.09,6.12,6.19,6.19,6.26,6.50,6.58,6.65,0.21

Metric,Value
Benchmark Duration (sec),34.69
Maximum Response Timestamp (ns),1771008120456673792.00
Minimum Request Timestamp (ns),1771008085761934848.00
Output Token Throughput (tokens/sec),147.57
Request Count,5.00
Request Throughput (requests/sec),0.14
Total Input Sequence Length (tokens),5120.00
Total Output Sequence Length (tokens),5120.00
Total Output Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),295.15


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
